,LIR,LPeak,errLPeak,errLIR
489,123935779500.34346,103.78253388048593,5.279337632852142,8063900784.956564
490,174235314257.8683,91.41771718543785,6.198490115529734,11822510369.960901
491,47279180084.44586,117.37763723480941,8.361276140613763,5002801840.183588
492,8405869889.7054615,115.26376334492925,5.822322587752127,544594268.8803798
493,77621683543.74704,118.01318722396248,7.119073811291821,5193996207.551773
494,225764859707.8949,104.07720184928073,6.7797752354598035,12061045473.323824
495,230016374804.01306,112.46673729719033,6.861814894954376,16448892589.630173
496,178101342989.14502,117.01995944660274,7.248871567936474,14289691087.55173
497,289370447349.7359,105.74212364039359,5.600151282542757,18364918127.74012
498,2449380994.4614267,153.7111218369461,7.232793472713933,228537790.18018618
499,36244985910.14018,116.90121416029352,6.682711870691918,2416001755.375596
500,90891505362.07,102.12652094963235,5.7921002402847614,5306776176.22189
501,177883567488.28882,118.37697190384775,13.702788828170963,28584923597.06244
502,68097026047.66875,104.97133175593268,5.062769172570807,4322433440.80513
503,5180980086.461479,133.8607552574865,7.3515863268877375,381753093.38409865
504,61020253078.86841,111.84282636948703,6.020569232752939,3990067206.6509094
505,16960954981.69939,116.32787434477021,7.2640894319864895,1338249692.5638297
506,5956944157.5128765,102.69877231432208,7.004929159708402,585128033.5278245
507,28617826349.36168,82.29407638798483,5.64179529102377,1710479348.7655635
508,8289836711.352697,139.80142208850748,9.52085200126116,682405038.6923712
509,303412933607.4649,105.68669187696987,5.9801466798398035,21162885729.63835
510,75178640577.19221,118.65565203771443,6.9685468798966195,5340793678.909024
511,4897015862.25483,125.37016280894962,7.519646815879259,442154643.8144143
512,81538238115.93845,97.86321189570715,6.868237383370556,5640763988.002637
513,188787252858.16272,104.40057212657784,6.224600903911552,14469063418.984785
514,13630133567.886501,102.35985120674455,5.514850356912991,846705135.5018538
515,77768190897.91528,116.93511608381148,7.099332712641907,5222454850.676703
516,62926419740.170746,114.34850920866975,6.627943896196852,4654646369.329683
517,11432640042.794909,105.13555398082715,7.3569632780454794,673955324.5214996
518,75746595790.15694,100.24761656524757,6.256044608281925,4621170162.761457
519,6992970394.495817,119.49962117862455,8.877616117234087,745907417.8173251
520,128581511823.38763,119.25222588731408,8.834353795385358,9602558066.570494
521,80837077840.73183,116.52958628838871,7.667504322929258,6621746058.653966
522,44583730867.39894,121.81003588595442,7.174790291900317,3251380777.04194
523,340206997093.0826,100.04862460404976,6.534130909465792,19754426372.419376
524,307808734212.1986,82.70763754141669,4.004617122248686,21584884093.88884
525,13558437456.998756,112.90763293446044,7.427845790604363,968961767.8245428
526,40262266246.97159,115.09925207010149,8.595778831278537,3648981879.1043363
527,26344382672.19433,68.78245737121952,6.6534089134506065,1912386903.4862137
528,6235565015.893734,126.94902386943296,15.426235605939745,811006256.8013009
529,99824071184.16312,98.3165896832374,7.189017216107057,6573425344.969877
530,138530067352.14105,97.53181063625178,5.292683730260175,10237663702.718077
531,239549096636.4361,53.2707283213099,2.9985863528438936,14294227234.709263
532,65691190639.01139,114.34850920866975,7.389678149568204,5893758854.890868
533,57681524417.62265,100.42238499900587,6.144648488597548,4077840864.3609037
534,11323954251.788448,113.96069189199052,6.746985479166915,766688382.3163779
535,338437899974.9187,78.03382053423029,3.9040827581433315,23174434350.54504
536,76581972928.22653,108.7949413692336,7.660282514650236,5817851886.399086
537,149845873290.3845,99.75161351461895,6.457744211576489,11081016712.879774
538,70601461383.54926,101.73999214551554,9.227678156988993,8087615974.632788
539,31432091727.44036,89.06524159429978,5.339228053262415,1978904350.3228858
540,196286973351.0208,101.07689477482654,7.522233636231746,15472234997.794813
541,5743377004.103956,113.92849249082293,9.439116218937212,703009095.014839
542,48903949805.2256,118.37697190384775,8.638371706779587,4252207158.1153865
543,100505399056.53235,91.09758386155815,6.516398016135617,8994776315.404692
544,30548126976.994965,111.96705415506858,10.223961669997605,3101291861.288194
545,60305631812.09044,111.07260517119965,8.900368579279935,4970093025.348772
546,15503488196.654848,81.80156833103467,4.761955818745448,1047840830.8027749
547,115521069478.85672,110.31291988694912,7.929661935170368,9701795734.129297
548,56313822852.70329,109.32590485394871,10.372342120879697,4674885244.617816
549,33590638700.791786,94.62500307537414,6.1071736447958145,2307777160.2576632
550,218218358740.17853,98.41257344185182,7.873284414412453,22619869596.527443
551,2692079866.503111,114.64110883098135,9.431985309836008,251502919.56108984
552,28470053883.92376,101.48392766892847,5.7994985770686505,1882329981.4915664
553,74630514594.64906,93.07420955146645,7.849543986960618,7196602086.40049
554,27424563175.881416,73.22953083830451,5.066552263020027,2014938612.785118
555,75345900945.04138,96.36633817937228,7.982219558150473,5474477036.65726
556,67493802652.27861,55.60690028704859,2.8383360622718725,4642806166.932807
557,17237828545.246063,94.86990230102069,7.89341898700674,2293810710.597213
558,174804416381.85037,94.80298597456576,9.719813529974806,21446206353.607643
559,5635377738.331657,90.54525632969283,7.307547649486425,414631353.160414
560,68786407364.77634,82.91171881088955,6.8182911302244396,6730451190.044715
561,15977382670.294304,89.5200376707853,8.28423474144098,2016770356.7838302
562,26088363568.335075,89.06524159429978,20.77600780951259,6979881914.368328
563,46696211853.92372,71.01757491119321,8.128557147877437,4721933509.291012
564,10413663028.866634,81.95119872415823,6.676138574112586,826146026.1062847
565,22828055456.06747,71.43908338965232,8.076491564701808,2330763180.958577
566,114317695512.81888,75.9324309342762,3.8077935689526003,8206691138.840839
567,43817805837.66589,76.79288154673435,5.158769165702485,6260511420.38591
568,55978461742.322525,75.43523227726934,6.346765958853917,8598287468.31497
569,116270239.00776616,75.66171274304925,4.042481448298522,10993477.996661382
570,21093069796.813606,88.71252486218242,13.546289588126461,4672316831.304602
571,50773451377.14676,144.3560005658871,6.21175393522899,2188551596.9972816
572,88455358141.7824,112.65527023160148,5.583327674057331,4456807108.193767
573,15155593759.342033,144.9267380686677,5.171486347063905,706232001.0470634
574,18738992522.13183,128.4043894634388,6.2395288119948225,805236254.6823514
575,123338798242.45946,135.7079073150742,5.099292496125025,5946743003.638661
576,37213960897.51308,133.72757009470783,5.572453792291922,1776803825.5363216
577,205391858385.5349,105.38285302381074,4.607101833936928,11551945175.88804
578,178239907817.58713,120.39161768636399,5.807569010946198,8687078990.723654
579,44732774289.95526,131.16108739962692,5.237747886596666,2089346023.9854448
580,27960111636.27171,125.19499812209988,6.108128375816958,1359450409.8741462
